comunaId,nombre,region,coverageFraction,available,totalHa2017,burnedHa2017,burnedFraction2017,frequencyMean2013_2017,frequencyMax2013_2017,yearLastFireThrough2017
CHL.3.1.21_1,Villarrica,La Araucanía,1.0,True,129348.59581546018,0.0,0.0,0.0,0,
CHL.3.2.1_1,Angol,La Araucanía,1.0,True,119694.59149452945,340.048425899153,0.002840967345752583,0.0243046963960099,2,2017
CHL.3.2.2_1,Collipulli,La Araucanía,1.0,True,130696.05826892576,698.2107921435656,0.005342248277349707,0.07083513628119596,2,2017
CHL.3.2.3_1,Curacautín,La Araucanía,1.0,True,165826.02888081712,0.0,0.0,0.0022949839784137355,1,2015
CHL.3.2.4_1,Ercilla,La Araucanía,1.0,True,49725.84304098204,39.3516746458188,0.0007913726995716639,0.10317975063791293,2,2017
CHL.3.2.5_1,Lonquimay,La Araucanía,1.0,True,392932.6212620875,0.0,0.0,0.00025549383359276613,1,2014
CHL.3.2.6_1,LosSauces,La Araucanía,1.0,True,85015.02333645495,340.02146608393906,0.003999545641930511,0.024238243876919436,2,2017
CHL.3.2.7_1,Lumaco,La Araucanía,1.0,True,111018.76435638913,1324.903029018789,0.011934045894850935,0.04123547600336207,2,2017
CHL.3.2.8_1,Purén,La Araucanía,1.0,True,46437.362771826316,33.55507430161515,0.0007225878538040732,0.017973793934035108,1,2017
CHL.3.2.9_1,Renaico,La Araucanía,1.0,True,26463.550989168092,0.0,0.0,0.011722935863589608,1,2016
CHL.3.2.10_1,Traiguén,La Araucanía,1.0,True,89649.68347375942,912.8707541643003,0.010182643360157527,0.06943027532179652,2,2017
CHL.3.2.11_1,Victoria,La Araucanía,1.0,True,126084.6820513464,0.0,0.0,0.03423260830768732,1,2016
